Paper_Name,Difficulty,English_Marks,GK_Marks,Maths_Marks,Total_Marks,OTA_Total_Marks,IMA_Selection,INA_Selection,AFA_Selection,OTA_Selection
CDS 2 2023,Moderate,70.30999522495951,37.929389721328334,44.31280119116199,152.55218613744984,114.6227964161215,1,1,1,1
CDS 1 2022,Moderate,56.907876241487855,59.70654152546831,38.31263431403564,154.9270520809918,95.2205105555235,1,1,1,0
Standard Mock,Moderate,55.2082576215471,34.72398031192766,33.14341023336183,123.07564816683659,88.35166785490892,0,0,0,0
CDS 2 2022,Easy,53.037933759193294,71.27488034284988,48.125258223941984,172.43807232598516,101.16319198313528,1,1,1,0
CDS 2 2022,Easy,64.27989878419666,59.33963230057161,50.03532897892024,173.6548600636885,114.3152277631169,1,1,1,1
CDS 2 2022,Easy,58.54880245394876,73.45643879759163,43.61395605508414,175.61919730662453,102.1627585090329,1,1,1,0
CDS 2 2023,Moderate,59.64173960890049,16.56305875092307,50.64643655814006,126.85123491796361,110.28817616704055,0,1,0,1
CDS 2 2023,Moderate,68.21902504375224,44.41191179440959,35.870470682381715,148.50140752054352,104.08949572613395,1,1,1,1
CDS 2 2022,Easy,65.91760776535503,52.36393734594986,20.124310853991073,138.40585596529596,86.0419186193461,0,1,0,0
CDS 2 2023,Moderate,63.57112571511746,41.78075738071623,49.77894044741516,155.13082354324885,113.35006616253261,1,1,1,1
Standard Mock,Moderate,51.91506397106812,58.98482541242489,29.982429564154636,140.88231894764766,81.89749353522276,1,1,0,0
CDS 2 2023,Moderate,63.287511096596845,54.15920919736027,29.702397962329613,147.14911825628673,92.98990905892646,1,1,1,0
CDS 2 2022,Easy,65.9707754934804,46.575362873471775,49.68644990532889,162.23258827228108,115.65722539880929,1,1,1,1
CDS 1 2022,Moderate,56.723378534022316,30.437820622414577,31.078918468678424,118.24011762511532,87.80229700270074,0,0,0,0
CDS 1 2023,Hard,57.96120277064576,40.06136147970953,32.08844217743911,130.1110064277944,90.04964494808488,1,1,0,0
CDS 2 2023,Moderate,57.65412866624853,42.95225612681569,20.84629257949586,121.45267737256009,78.50042124574439,0,1,0,0
Standard Mock,Moderate,56.572854834732304,46.06457146000789,26.97722730778381,129.61465360252402,83.55008214251612,0,1,0,0
CDS 2 2023,Moderate,64.04050856814538,50.09493375398207,53.8618590121053,167.99730133423276,117.90236758025068,1,1,1,1
Standard Mock,Moderate,62.57550390722764,24.9747454164115,34.25554084233833,121.80579016597747,96.83104474956596,0,0,0,0
CDS 1 2022,Moderate,59.73486124550783,77.55890534982343,35.60230209941027,172.89606869474153,95.3371633449181,1,1,1,0
CDS 1 2023,Hard,53.076390352188774,39.58345876353708,32.4123787386689,125.07222785439475,85.48876909085767,1,1,0,0
CDS 2 2022,Easy,53.31321962380468,64.02319639224129,51.42822814515021,168.76464416119617,104.74144776895488,1,1,1,0
CDS 2 2022,Easy,72.91031947043047,71.8335317312332,30.90612545205261,175.64997665371627,103.81644492248307,1,1,1,0
CDS 2 2022,Easy,50.98148937207719,81.28546750971975,45.868570938002705,178.13552781979965,96.8500603100799,1,1,1,0
Standard Mock,Moderate,50.09463674869312,49.19581638105169,29.33702270397228,128.62747583371709,79.4316594526654,0,1,0,0
CDS 2 2023,Moderate,54.96524345883801,48.82275569767233,19.493365689338674,123.28136484584903,74.45860914817669,0,1,0,0
CDS 1 2023,Hard,44.37696286273895,28.96690918919436,33.788739445081454,107.13261149701475,78.1657023078204,0,0,0,0
CDS 1 2022,Moderate,75.4993440501754,44.13526180553189,27.167467076637628,146.8020729323449,102.66681112681303,1,1,0,0
CDS 2 2023,Moderate,68.1351721736967,50.72951921524955,22.69135683566045,141.5560482246067,90.82652900935716,1,1,0,0
CDS 2 2023,Moderate,73.07142754282428,50.21560630238765,18.925167654387725,142.21220149959964,91.996595197212,1,1,1,0
CDS 1 2022,Moderate,62.598827942484235,33.15659146946302,42.8182287177731,138.57364812972037,105.41705666025734,1,1,0,1
CDS 2 2023,Moderate,46.795433869157236,51.56381607879823,40.21941565616898,138.57866560412444,87.01484952532621,1,1,0,0
CDS 1 2022,Moderate,62.504928503458764,39.83970334105811,38.46448209496975,140.80911393948662,100.96941059842851,1,1,0,0
CDS 2 2023,Moderate,62.322536971610035,39.427782983683585,37.93072473298681,139.68104468828042,100.25326170459684,1,1,0,0
CDS 1 2022,Moderate,78.65774511144757,33.70435803356821,39.73832920911788,152.10043235413366,118.39607432056545,1,1,1,1
CDS 2 2023,Moderate,66.5655360863383,57.44501524490943,25.253183297726785,149.2637346289745,91.81871938406508,1,1,1,0
CDS 1 2022,Moderate,71.58595579007404,59.56051355093186,26.793176816482895,157.9396461574888,98.37913260655694,1,1,1,0
CDS 2 2023,Moderate,64.12780926936499,70.76151579184737,43.2206015999449,178.10992666115726,107.34841086930989,1,1,1,1
CDS 1 2022,Moderate,57.54611883997129,37.32582684449372,27.462638356425103,122.33458404089012,85.0087571963964,0,0,0,0
CDS 2 2023,Moderate,51.841897150345616,52.09382369779973,34.228982905858956,138.1647037540043,86.07088005620457,1,1,0,0
CDS 2 2022,Easy,67.7669079933002,55.156022702534884,48.27183249036024,171.1947631861953,116.03874048366043,1,1,1,1
CDS 1 2022,Moderate,74.53534077157317,80.64202999907542,32.35343166762044,187.53080243826903,106.88877243919362,1,1,1,1
CDS 1 2022,Moderate,66.25667347765007,35.14929002326665,26.428424435837172,127.8343879367539,92.68509791348724,0,0,0,0
CDS 2 2022,Easy,69.82472415243186,63.568005929105105,37.76537214674149,171.15810222827847,107.59009629917335,1,1,1,1
CDS 1 2022,Moderate,64.73237624573545,37.838475383179144,34.271710873431275,136.84256250234586,99.00408711916673,1,1,0,0
CDS 2 2023,Moderate,44.851527753141355,58.27678553188167,30.53485047932979,133.66316376435282,75.38637823247115,1,1,0,0
CDS 1 2023,Hard,57.14093744130204,42.078171110214186,20.034089770304096,119.25319832182032,77.17502721160614,0,1,0,0
CDS 2 2023,Moderate,63.85317379728837,49.84470127134634,26.16142563798867,139.85930070662337,90.01459943527703,1,1,0,0
Standard Mock,Moderate,60.58208718446,52.2934483241794,23.57029702169377,136.44583253033318,84.15238420615377,1,1,0,0
CDS 2 2023,Moderate,65.60784526368235,60.645624624418836,45.830512431752766,172.08398231985396,111.43835769543512,1,1,1,1
CDS 1 2022,Moderate,46.22330632042909,54.18042320650392,25.621749600848773,126.02547912778178,71.84505592127786,0,0,0,0
CDS 1 2023,Hard,60.13785950912209,86.23277788785666,34.12038149044838,180.49101888742712,94.25824099957046,1,1,1,0
Standard Mock,Moderate,65.70890510693167,59.448021161918426,46.35565640180599,171.5125826706561,112.06456150873765,1,1,1,1
CDS 1 2023,Hard,61.51391251305798,49.10763064591921,27.477846042877236,138.09938920185442,88.99175855593522,1,1,1,0
Standard Mock,Moderate,52.27174785462428,42.175637426050756,32.63181393259991,127.07919921327495,84.90356178722419,0,1,0,0
CDS 2 2022,Easy,65.81874139386322,32.592817688899025,63.146585666735085,161.55814474949733,128.9653270605983,1,1,1,1
CDS 1 2023,Hard,61.86260190374514,34.3368176105268,17.098273030482787,113.29769254475471,78.96087493422792,0,1,0,0
CDS 1 2022,Moderate,70.88950596967366,35.06706266484832,35.64280019095463,141.59936882547663,106.5323061606283,1,1,0,1
CDS 1 2023,Hard,47.84696290740032,31.23560041939436,35.4367819914774,114.51934531827209,83.28374489887773,0,1,0,0
CDS 1 2022,Moderate,62.16458589581975,40.1807958287302,35.45571839903814,137.80110012358807,97.62030429485789,1,1,0,0
CDS 1 2023,Hard,76.43944089325325,15.698288960108712,35.07135217854409,127.20908203190605,111.51079307179734,1,1,0,1
CDS 2 2022,Easy,66.86454314769428,65.22920001755469,33.38213535231612,165.4758785175651,100.2466785000104,1,1,1,0
CDS 1 2022,Moderate,52.07479261567299,54.05984734776548,33.85263558533101,139.9872755487695,85.927428201004,1,1,0,0
Standard Mock,Moderate,68.65755194170121,43.985985169908616,22.997035929442237,135.64057304105205,91.65458787114345,1,1,0,0
Standard Mock,Moderate,55.25054688839044,69.18545088337316,28.46670767426288,152.9027054460265,83.71725456265332,1,1,1,0
CDS 1 2023,Hard,59.049817109609556,51.014343364657314,19.912928365319637,129.97708883958651,78.96274547492919,1,1,0,0
Standard Mock,Moderate,81.22156197012633,29.767560408551837,45.32465260551147,156.31377498418965,126.5462145756378,1,1,1,1
CDS 1 2022,Moderate,55.15765927133749,39.50796641257463,47.669111491866225,142.33473717577834,102.82677076320371,1,1,0,0
CDS 1 2022,Moderate,64.43819428146229,36.876834341063,42.74634053429337,144.06136915681867,107.18453481575565,1,1,0,1
CDS 1 2022,Moderate,59.404746439382,35.707348303988525,2.5873265993092716,97.6994213426798,61.992073038691274,0,0,0,0
CDS 1 2022,Moderate,57.4743184860684,67.58893564717962,22.522168180351507,147.58542231359954,79.99648666641991,1,1,1,0
CDS 1 2022,Moderate,45.69858622039367,49.5688869274331,30.59955513303016,125.86702828085693,76.29814135342383,0,0,0,0
Standard Mock,Moderate,74.41273289066116,61.957965025859515,20.641378488205607,157.0120764047263,95.05411137886676,1,1,1,0
CDS 2 2023,Moderate,60.10233061019587,53.54524169115925,25.18491348952049,138.8324857908756,85.28724409971636,1,1,0,0
CDS 1 2023,Hard,56.9905969557347,40.83762501988023,25.198264982729643,123.02648695834458,82.18886193846434,1,1,0,0
CDS 2 2023,Moderate,56.1468640313824,55.94556809425256,36.13517345251248,148.22760557814743,92.28203748389488,1,1,1,0
CDS 1 2022,Moderate,75.86016816145352,73.5964004958752,22.62184501173151,172.07841366906024,98.48201317318502,1,1,1,0
CDS 1 2023,Hard,35.47912200477498,47.05980647781492,28.785719239715334,111.32464772230523,64.26484124449031,0,0,0,0
CDS 2 2023,Moderate,62.809918677350325,45.5025329957127,28.773004801794063,137.0854564748571,91.58292347914438,1,1,0,0
CDS 1 2022,Moderate,55.06999065341167,58.19522516425229,29.106352430557884,142.37156824822185,84.17634308396956,1,1,0,0
Standard Mock,Moderate,63.57015485965047,58.79519850519901,28.07090404739346,150.43625741224292,91.64105890704393,1,1,1,0
CDS 1 2022,Moderate,63.072995208766095,55.555546103083344,43.1286211883896,161.75716250023905,106.2016163971557,1,1,1,1
CDS 1 2022,Moderate,51.710049890779274,56.967523261479144,29.398189598030307,138.07576275028873,81.10823948880957,1,1,0,0
CDS 1 2022,Moderate,66.10370265433465,49.407928599705386,34.79098406035852,150.30261531439857,100.89468671469317,1,1,1,0
CDS 2 2022,Easy,77.77664895788425,61.565168574040456,34.0842861116417,173.42610364356642,111.86093506952595,1,1,1,1
CDS 1 2023,Hard,52.97807347566106,53.185322223846285,28.25855037418224,134.42194607368958,81.2366238498433,1,1,0,0
CDS 2 2022,Easy,73.2541634898803,70.66574568585195,48.135096360006386,192.05500553573864,121.38925984988668,1,1,1,1
Standard Mock,Moderate,60.21003841632759,44.27679892087853,41.81952971294964,146.30636705015576,102.02956812927724,1,1,1,1
CDS 2 2023,Moderate,63.24166352488442,49.16395157991262,33.698569456323156,146.10418456112018,96.94023298120757,1,1,1,0
CDS 2 2023,Moderate,65.95157025436913,73.10864730822553,26.817793167665275,165.87801073025992,92.7693634220344,1,1,1,0
CDS 1 2022,Moderate,49.93982618500298,61.89733048200081,22.85811387212268,134.69527053912645,72.79794005712566,0,1,0,0
CDS 2 2022,Easy,72.91662693962935,62.54014611117136,46.24119817052155,181.69797122132226,119.1578251101509,1,1,1,1
CDS 2 2022,Easy,64.87753227153085,55.909654698324715,31.027456285141685,151.81464325499724,95.90498855667254,1,1,0,0
CDS 2 2023,Moderate,53.22838288487888,46.23531142197434,44.75119733417751,144.21489164103073,97.9795802190564,1,1,1,0
CDS 2 2022,Easy,56.745028032074885,59.95517745130749,36.78614158347007,153.48634706685243,93.53116961554495,1,1,1,0
CDS 1 2022,Moderate,54.36275447196025,50.924246537902945,26.777796044335687,132.0647970541989,81.14055051629595,0,1,0,0
CDS 2 2023,Moderate,62.44966571108723,42.347540332580124,29.9305682462887,134.72777428995607,92.38023395737594,1,1,0,0
CDS 2 2022,Easy,67.32049937357637,38.11043470748134,25.519156585026757,130.95009066608446,92.83965595860312,0,0,0,0
CDS 1 2022,Moderate,52.81555778747564,51.73089078717606,32.86552848288153,137.41197705753322,85.68108627035717,1,1,0,0
CDS 2 2022,Easy,79.75356216949552,53.080737640438876,48.576596232020194,181.4108960419546,128.33015840151572,1,1,1,1
CDS 1 2023,Hard,54.80983792097311,39.77784236809132,21.97976508289753,116.56744537196195,76.78960300387064,0,1,0,0
CDS 1 2023,Hard,52.11341361079862,30.073228677372125,32.58174848270472,114.76839077087547,84.69516209350334,0,1,0,0
CDS 1 2023,Hard,60.193465142411725,38.69487821851771,42.26191130402062,141.15025466495007,102.45537644643235,1,1,1,1
CDS 1 2023,Hard,59.01711722098941,35.185354337369965,35.5211519336889,129.7236234920483,94.53826915467832,1,1,0,0
CDS 1 2022,Moderate,62.24092481810417,49.17211318258598,35.12592400781795,146.5389620085081,97.36684882592212,1,1,0,0
CDS 2 2022,Easy,57.26990216144534,60.9759794949454,40.245101742589426,158.49098339898015,97.51500390403476,1,1,1,0
CDS 1 2023,Hard,69.51143607795042,65.83818949013867,37.67416660868165,173.02379217677077,107.18560268663208,1,1,1,1
CDS 2 2023,Moderate,52.326524371119504,50.20010406886022,43.723206367206785,146.24983480718652,96.04973073832629,1,1,1,0
CDS 2 2023,Moderate,81.89802933217672,37.92333789383069,26.917017146448487,146.7383843724559,108.8150464786252,1,1,1,1
CDS 1 2022,Moderate,54.00607354555978,41.69093973983087,13.76104275690193,109.45805604229258,67.76711630246172,0,0,0,0
CDS 1 2022,Moderate,52.40867338446302,52.101071709325915,36.50393786476208,141.01368295855102,88.91261124922511,1,1,0,0
CDS 2 2023,Moderate,78.76170839215887,41.077156132051165,44.5042383818605,164.34310290607053,123.26594677401937,1,1,1,1
CDS 2 2023,Moderate,51.01585328651642,32.15720151575229,39.919191715065054,123.09224651733376,90.93504500158147,0,1,0,0
CDS 2 2022,Easy,83.31458765854353,49.36989217474354,51.79440120721287,184.47888104049994,135.1089888657564,1,1,1,1
CDS 2 2023,Moderate,42.868654709091224,46.62552185696858,48.538723741654124,138.03290030771393,91.40737845074534,1,1,0,0
Standard Mock,Moderate,72.37816311973462,40.807499724554724,19.05572341205633,132.2413862563457,91.43388653179096,0,1,0,0
CDS 2 2022,Easy,65.05243699718183,49.59921434224908,40.46980593764742,155.12145727707832,105.52224293482925,1,1,1,0
CDS 2 2023,Moderate,66.22849932347499,46.291446179744476,24.323795706174057,136.84374120939353,90.55229502964904,1,1,0,0
Standard Mock,Moderate,61.20295631711899,56.53937853706668,40.14438834058749,157.88672319477317,101.34734465770649,1,1,1,1
Standard Mock,Moderate,48.75357908162131,63.33212186278211,19.658858292643778,131.7445592370472,68.4124373742651,0,1,0,0
CDS 2 2023,Moderate,63.323140119795916,66.61382370627027,27.515134634434464,157.45209846050065,90.83827475423038,1,1,1,0
CDS 1 2022,Moderate,61.156746342928585,48.81022177692131,46.792971840638266,156.75993996048817,107.94971818356686,1,1,1,1
CDS 1 2023,Hard,75.60747924881987,37.01243021825112,44.042726739545635,156.66263620661664,119.65020598836551,1,1,1,1
CDS 1 2023,Hard,64.71570950954356,56.42357869038818,35.16300759668118,156.30229579661292,99.87871710622474,1,1,1,1
CDS 2 2023,Moderate,50.35076539419896,60.70109384219505,41.86051459998439,152.91237383637838,92.21127999418334,1,1,1,0
CDS 1 2022,Moderate,42.41260513576886,23.52921386687879,23.16741487334225,89.1092338759899,65.58002000911111,0,0,0,0
Standard Mock,Moderate,57.305931655554424,66.02828462515234,42.17542255795962,165.50963883866638,99.48135421351404,1,1,1,0
CDS 1 2022,Moderate,60.74094780419775,31.438782501421304,51.286155455712915,143.46588576133198,112.02710325991066,1,1,0,1
CDS 2 2023,Moderate,42.96617560644845,52.60878538727169,34.44452301103381,130.01948400475396,77.41069861748227,1,1,0,0
Standard Mock,Moderate,59.67305251905907,46.93055952584654,14.325578999601234,120.92919104450684,73.9986315186603,0,0,0,0
CDS 1 2022,Moderate,46.95530499495147,52.39917895316218,41.69672548830039,141.051209436414,88.65203048325185,1,1,0,0
Standard Mock,Moderate,50.60120213672645,35.28943773733258,29.861330826633065,115.75197070069208,80.46253296335951,0,0,0,0
CDS 1 2023,Hard,54.37320902726828,28.171287443973476,37.64113856400991,120.18563503525166,92.01434759127818,1,1,0,0
Standard Mock,Moderate,65.04046515517844,38.48552601285187,29.69742381627559,133.2234149843059,94.73788897145403,0,1,0,0
CDS 1 2022,Moderate,58.929696400454425,41.35620833583381,24.647576775806257,124.9334815120945,83.57727317626069,0,0,0,0
CDS 1 2023,Hard,43.021221074111516,40.423162623660744,45.717801063331116,129.1621847611034,88.73902213744263,1,1,0,0
CDS 1 2022,Moderate,53.00274492007414,46.652063403710045,37.13979910734222,136.7946074311264,90.14254402741636,1,1,0,0
CDS 2 2022,Easy,62.79030400466777,64.09009252056767,46.14166700043425,173.0220635256697,108.93197100510201,1,1,1,1
CDS 2 2022,Easy,59.69498852389472,51.699379634180275,34.2418175935532,145.6361857516282,93.93680611744793,1,1,0,0
CDS 1 2022,Moderate,36.980788352644154,64.4024912093343,19.84808937801448,121.23136893999293,56.82887773065863,0,0,0,0
CDS 1 2022,Moderate,76.44967713501283,54.918683556669194,32.50963960443622,163.87800029611824,108.95931673944905,1,1,1,1
CDS 2 2023,Moderate,63.112501545435364,61.434898937214925,65.78880808455239,190.33620856720268,128.90130962998774,1,1,1,1
CDS 2 2022,Easy,63.72082408519233,35.722644156909126,30.444595593995743,129.88806383609722,94.16541967918808,0,0,0,0
Standard Mock,Moderate,62.03463635867223,30.93295548482791,27.436492547156966,120.40408439065712,89.4711289058292,0,0,0,0
CDS 2 2022,Easy,58.534271157574736,75.24569962087078,29.18451996385605,162.96449074230156,87.71879112143078,1,1,1,0
Standard Mock,Moderate,68.81639756949451,65.75932966668032,34.92027358683383,169.49600082300867,103.73667115632834,1,1,1,1
CDS 2 2022,Easy,65.77368307647619,73.27748892723588,31.387157986717362,170.43832999042942,97.16084106319354,1,1,1,0
CDS 1 2022,Moderate,65.38910043684659,45.7159358629967,24.627538456735437,135.73257475657874,90.01663889358203,0,1,0,0
CDS 2 2023,Moderate,51.24381746615243,59.1141305703797,21.17200269035664,131.52995072688879,72.41582015650907,1,1,0,0
CDS 1 2022,Moderate,79.0941664047013,54.75563084028685,21.01432426180859,154.86412150679672,100.10849066650988,1,1,1,0
CDS 2 2023,Moderate,53.49357430878173,40.89127290913357,30.12874616235304,124.51359338026833,83.62232047113477,0,1,0,0
CDS 2 2022,Easy,56.36009230320184,45.02859860306755,40.48521627944827,141.87390718571766,96.8453085826501,1,1,0,0
CDS 2 2023,Moderate,62.704568257798385,45.13262343760309,34.49761890550863,142.3348106009101,97.20218716330702,1,1,1,0
CDS 1 2023,Hard,45.92436337958402,49.06469470990908,25.38582935545334,120.37488744494644,71.31019273503736,1,1,0,0
CDS 1 2023,Hard,60.009171876243805,41.19198766515071,22.179558041611593,123.38071758300612,82.1887299178554,1,1,0,0
CDS 2 2023,Moderate,67.5138712337179,54.52032230855922,18.305947188786284,140.3401407310634,85.81981842250417,1,1,0,0
Standard Mock,Moderate,53.37376241054153,38.8408901214898,40.70598668593159,132.92063921796293,94.07974909647312,0,1,0,0
CDS 1 2023,Hard,36.95117899335481,40.577019359936585,16.9796604969347,94.50785885022609,53.93083949028951,0,0,0,0
CDS 1 2022,Moderate,62.59722501721482,55.663109505328485,25.956833748955916,144.21716827149922,88.55405876617073,1,1,0,0
Standard Mock,Moderate,43.3847993773104,33.46780560285052,34.33920201352684,111.19180699368775,77.72400139083723,0,0,0,0
CDS 1 2022,Moderate,53.48163892197841,37.67503961659257,35.47398671316414,126.63066525173512,88.95562563514255,0,0,0,0
Standard Mock,Moderate,56.154444557701744,41.07729756572222,45.0629280921444,142.29467021556837,101.21737264984614,1,1,0,1
CDS 1 2023,Hard,63.35692112065142,46.357650134983395,20.962345162739055,130.67691641837388,84.31926628339048,1,1,0,0
CDS 1 2022,Moderate,74.41568620657901,38.43725693435428,10.283554998727105,123.1364981396604,84.69924120530612,0,0,0,0
Standard Mock,Moderate,65.7707212718054,52.4537504804557,32.96954613957007,151.19401789183118,98.74026741137547,1,1,1,0
CDS 1 2022,Moderate,53.960148132841795,46.13187317529505,35.865897874729,135.95791918286585,89.8260460075708,0,1,0,0
CDS 2 2023,Moderate,71.67782061659807,52.051231944902426,37.54420843301213,161.2732609945126,109.2220290496102,1,1,1,1
CDS 1 2022,Moderate,55.881230338775325,42.80930174616455,30.123937759275066,128.81446984421495,86.00516809805039,0,1,0,0
CDS 1 2023,Hard,58.944521423782966,43.477298282756955,26.632124153437896,129.0539438599778,85.57664557722086,1,1,0,0
CDS 1 2023,Hard,75.75400798645438,36.08771761398591,36.96899762745354,148.81072322789385,112.72300561390793,1,1,1,1
CDS 1 2022,Moderate,72.01213922163944,23.542505577865754,30.919246269784487,126.47389106928968,102.93138549142392,0,0,0,0
CDS 2 2023,Moderate,49.91913689082596,43.78183819150429,16.292080789741444,109.9930558720717,66.2112176805674,0,0,0,0
CDS 1 2022,Moderate,60.184183791895514,51.923128485169954,51.76437312275283,163.87168539981832,111.94855691464835,1,1,1,1
CDS 2 2022,Easy,62.80899471191136,28.466376291905377,48.294055811834895,139.56942681565164,111.10305052374625,0,1,0,1
CDS 1 2022,Moderate,62.356145581085656,30.256965050641902,42.708651938869664,135.32176257059723,105.06479751995532,0,1,0,1
CDS 1 2023,Hard,66.43754043206928,35.01654503319038,32.707971259955315,134.162056725215,99.1455116920246,1,1,0,1
CDS 1 2023,Hard,61.32781866106285,42.18239506070194,48.16554286243517,151.67575658419995,109.49336152349801,1,1,1,1
CDS 2 2023,Moderate,62.48220586300336,37.8018675664225,30.40639100459756,130.6904644340234,92.88859686760091,1,1,0,0
Standard Mock,Moderate,68.30335816544246,48.85879484663271,26.439161740911327,143.6013147529865,94.74251990635379,1,1,0,0
CDS 1 2022,Moderate,55.223425532348834,52.00394526344338,39.78979825746392,147.01716905325614,95.01322378981276,1,1,1,0
CDS 1 2022,Moderate,70.375399442579,44.761500776479544,29.89983601145253,145.03673623051108,100.27523545403153,1,1,0,0
Standard Mock,Moderate,50.21236284217693,52.52760591653823,30.557067399238882,133.29703615795404,80.76943024141582,0,1,0,0
CDS 2 2022,Easy,72.56988616645351,65.43527104126792,30.778346758223748,168.7835039659452,103.34823292467726,1,1,1,0
CDS 2 2023,Moderate,73.55637858804951,70.52154975069679,39.13434903223701,183.21227737098332,112.69072762028652,1,1,1,1
CDS 2 2023,Moderate,52.26210800896427,26.655357013148656,22.55345296688583,101.47091798899876,74.8155609758501,0,0,0,0
CDS 2 2022,Easy,79.96044311489183,54.33298394907454,46.54365656354058,180.83708362750696,126.50409967843241,1,1,1,1
CDS 1 2022,Moderate,62.799686263198204,77.34902375540192,23.745109527016233,163.89381954561634,86.54479579021444,1,1,1,0
CDS 2 2022,Easy,66.29221181975228,63.7091994867843,41.09394794604893,171.09535925258552,107.38615976580121,1,1,1,1
CDS 1 2023,Hard,59.810092317367136,30.514306534656257,31.791072194233053,122.11547104625645,91.60116451160019,1,1,0,0
CDS 2 2023,Moderate,64.71468357135996,64.14504055385973,53.82024496475034,182.67996908997003,118.5349285361103,1,1,1,1
Standard Mock,Moderate,75.93186626639397,36.12474215689703,29.88784323568815,141.94445165897915,105.81970950208212,1,1,0,1
CDS 2 2023,Moderate,58.74213079900352,61.13029822165139,35.557249122886944,155.42967814354185,94.29937992189046,1,1,1,0
CDS 2 2023,Moderate,43.07535370285181,46.10390521705213,50.29550319460614,139.47476211451007,93.37085689745794,1,1,0,0
CDS 2 2022,Easy,60.7311893005258,35.141719937610766,29.878956247398325,125.75186548553489,90.61014554792412,0,0,0,0
CDS 1 2022,Moderate,68.23170583961914,32.52046920310735,35.73317967188404,136.48535471461054,103.96488551150318,1,1,0,0
CDS 2 2023,Moderate,47.04921227936384,68.02825830347271,31.642153007098717,146.71962358993528,78.69136528646256,1,1,1,0
CDS 1 2022,Moderate,57.40408648636395,45.05108323096867,19.96857046881894,122.42374018615156,77.37265695518289,0,0,0,0
CDS 1 2023,Hard,52.27276430252329,39.348461601786255,8.424906856467427,100.04613276077697,60.697671158990715,0,0,0,0
CDS 2 2023,Moderate,57.69065469791322,70.18747313934415,41.96206364813418,169.84019148539156,99.65271834604741,1,1,1,0
Standard Mock,Moderate,71.26565029547757,34.721689095099954,32.31111309445169,138.2984524850292,103.57676338992925,1,1,0,1
CDS 1 2022,Moderate,85.7335980324986,48.167151502955356,35.59218434014488,169.49293387559885,121.32578237264349,1,1,1,1
CDS 2 2022,Easy,64.75874912889996,53.267675056912694,41.98084760767855,160.0072717934912,106.7395967365785,1,1,1,0
Standard Mock,Moderate,54.26337993119763,47.60696075740802,29.531410587596078,131.40175127620174,83.79479051879372,0,1,0,0
CDS 1 2022,Moderate,54.56575228866235,49.27716273230276,27.871542173228356,131.71445719419347,82.4372944618907,0,1,0,0
CDS 2 2022,Easy,62.450227825791444,23.188362299283856,55.039929885826886,140.6785200109022,117.49015771161834,1,1,0,1
CDS 1 2022,Moderate,70.91506851922462,23.119317211102206,47.46085192497629,141.49523765530313,118.37592044420091,1,1,0,1
CDS 1 2023,Hard,51.573124059196516,23.109859663386146,27.02847307203367,101.71145679461634,78.60159713123019,0,0,0,0
